ratio(%),empi_mse,my_bound_all:,ot2_bound_all:
0.001,50.765,16.0106,15.8035
0.002,50.5099,15.8734,15.6928
0.003,49.8252,15.8066,15.6331
0.004,51.4466,15.7954,15.6388
0.005,49.9764,15.7701,15.6132
0.006,49.4384,15.776,15.6336
0.007,49.317,15.7656,15.6209
0.008,49.8994,15.7629,15.6211
0.009,49.4732,15.7506,15.6103
0.01,49.4842,15.7466,15.6079
0.011,49.3779,15.7379,15.6034
0.012,49.738,15.7385,15.6023
0.013,49.6959,15.7289,15.5997
0.014,49.1858,15.7323,15.5991
0.015,49.4576,15.7248,15.5931
0.016,49.5955,15.7177,15.5878
0.017,49.6909,15.7167,15.5842
0.018,49.4808,15.7032,15.5681
0.019,50.2201,15.6898,15.5517
0.02,49.6859,15.7228,15.5926
0.021,49.3802,15.699,15.5656
0.022,49.7025,15.7081,15.5766
0.023,49.2781,15.7047,15.5744
0.024,49.6867,15.6884,15.5534
0.025,49.5107,15.6973,15.5605
0.026,49.4691,15.6872,15.5513
0.027,49.7209,15.6789,15.5371
0.028,49.4607,15.6854,15.547
0.029,49.4567,15.6886,15.5524
0.03,49.8969,15.6707,15.5296
0.031,49.9667,15.6681,15.5287
0.032,49.4743,15.6781,15.5363
0.033,49.9269,15.6717,15.5276
0.034,49.6023,15.653,15.5031
0.035,49.4572,15.6546,15.5057
0.036,49.6887,15.6662,15.5236
0.037,49.8253,15.6613,15.5166
0.038,49.2199,15.6502,15.4972
0.039,49.9014,15.656,15.5107
0.04,49.5522,15.6771,15.5334
0.041,49.8844,15.6603,15.5139
0.042,49.8283,15.645,15.4882
0.043,49.582,15.6496,15.4995
0.044,49.5444,15.6439,15.4933
0.045,49.7247,15.6451,15.4937
0.046,49.5857,15.645,15.4949
0.047,49.3445,15.6343,15.4789
0.048,49.0682,15.6142,15.4521
0.049,49.6867,15.6249,15.4679
